Business Name,Address,City,State,Number of Reviews,Site,Phone,Photo,pricing,wide_selection,sell_antiques,sell_books,clean_organized,sell_clothes,sell_furniture,sell_jewelry,sell_gift_items,sell_premium_brand,sell_merchandise,friendly_employees
Charming Oaks,"123 N College St, Auburn, AL 36830",Auburn,Alabama,40,https://charming-oaks.com/,+1 334-329-7522,https://lh5.googleusercontent.com/p/AF1QipOJUBzmHMxKI0HaXkbgPHQWeMkvshVk-amKxk1M=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Katie's Kloset,"1010 Lay Dam Rd, Clanton, AL 35045",Clanton,Alabama,48,http://raleighsplace.org/,+1 205-258-5399,https://lh5.googleusercontent.com/p/AF1QipMI_4oRPZhslT-D5qhviRq5tFEpCZm2T33jgMsl=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Firehouse Antiques & Collectibles,"10095 Memorial Pkwy SW, Huntsville, AL 35803",Huntsville,Alabama,291,http://www.firehouseantiquesmall.com/,+1 256-880-9111,https://lh5.googleusercontent.com/p/AF1QipOdItCb9wTSDJ93-pRy3AuqY0yudqWcZCDo0H26=w800-h500-k-no,Mid-Range,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
Christian Mission Bargain Center- Downtown Enterprise Location,"307 N Main St, Enterprise, AL 36330",Enterprise,Alabama,102,http://www.christmissions.org/,+1 334-393-4471,https://lh5.googleusercontent.com/p/AF1QipOtzEalcotRyVavVy_ZpE7UMMtxdnOwIUvuyqnx=w800-h500-k-no,Low,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Dixie Duds And Decor,"300 2nd St SE, Cullman, AL 35055",Cullman,Alabama,27,http://www.dixiedudsanddecor.com/,+1 256-841-6444,https://lh5.googleusercontent.com/p/AF1QipPOdR0nNrDcSzKsw9n84VrjTIbG1ez2W0WCP6C8=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Twice The Treasures,"201 Green St, Brewton, AL 36426",Brewton,Alabama,67,No data available,+1 251-236-0764,https://lh5.googleusercontent.com/p/AF1QipMHlcIetGWyrlYHGd5D0K8wsOoylH2xF-Km7kOc=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
The Willow Tree,"10021 AL-40, Henagar, AL 35978",Henagar,Alabama,137,https://thewillowtreehenagar.com/,+1 256-717-8899,https://lh5.googleusercontent.com/p/AF1QipPE7XkOaAkWgUJVigairMjQEkyrm1endBz564D2=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Day's Sporting Goods & Pawn,"724 E Main St, Centre, AL 35960",Centre,Alabama,59,No data available,+1 256-927-5508,https://lh5.googleusercontent.com/p/AF1QipPKfb-oI9-fxHA93mufcISm3r07cf6vNAvDVBZc=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Eagle Rock Thrift N More,"607 Gilbert Ferry Rd SE, Attalla, AL 35954",Attalla,Alabama,128,No data available,+1 256-886-7280,https://lh5.googleusercontent.com/p/AF1QipNsG2PrDJx08hpuoSJbNj5uhyDuN7tax3sJuzNk=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Big Fish Ministries Thrift Shop,"802 S McKenzie St, Foley, AL 36535",Foley,Alabama,54,http://bigfishministries.org/,+1 251-943-9513,https://lh5.googleusercontent.com/p/AF1QipMyuGF-vb9_AqARGGXfloupCh3y8piKJo4OT-cW=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Revolution Resale,"9 N Church St, Fairhope, AL 36532",Fairhope,Alabama,44,No data available,+1 251-990-4859,https://lh5.googleusercontent.com/p/AF1QipPE6PFvrJha2rWBC5klvo0qKNrhdRod445dac8=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Salvation Army,"1038 Opelika Rd, Auburn, AL 36830",Auburn,Alabama,129,http://www.salvationarmy.org/,+1 334-826-0073,https://lh5.googleusercontent.com/p/AF1QipMUOGhQAELQ8o-x2bjQOoYyMngznj7Nxp4DCB88=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Sacks On 72 Thrift Store,"7443 Hwy 72 W, Madison, AL 35758",Madison,Alabama,203,https://facebook.com/sackson72/,+1 256-837-7772,https://lh5.googleusercontent.com/p/AF1QipPBEThpFDU2TwFTfHD1l2pflZMsF_jzryBHQ_g4=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Antiques At The Loop,"28 S Florida St, Mobile, AL 36606",Mobile,Alabama,140,No data available,No data available,No data available,Mid-Range,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
Better Than Before Consignments,"1820 6th Ave SE, Decatur, AL 35601",Decatur,Alabama,89,http://btbconsignments.com/,+1 256-351-0666,https://lh5.googleusercontent.com/p/AF1QipOUMKDr-OHk9PFz2YMsHCjYpueIXBzmftHKT5XU=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Price Is Right Thrift Store,"9130 Wall Triana Hwy, Harvest, AL 35749",Harvest,Alabama,28,No data available,+1 256-714-8559,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kKoOKgRb_rLLDJ9vdCRvZw&cb_client=search.gws-prod.gps&w=800&h=500&yaw=258.91672&pitch=0&thumbfov=100,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Big Saver Thrift Stores,"2331 19th St N, Bessemer, AL 35020",Bessemer,Alabama,238,No data available,+1 205-424-4958,https://lh5.googleusercontent.com/p/AF1QipNxnFP6Bl35QNaf0Z6Y4tagg5ancvfgO8jAJ9YQ=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
My Sister's Closet Of Ywca Central Alabama,"2324 3rd Ave N, Birmingham, AL 35203",Birmingham,Alabama,33,https://www.facebook.com/MySistersClosetYWCA/,+1 205-703-5510,https://lh5.googleusercontent.com/p/AF1QipPrXCwUvUTHpviIEOjqjmRst1-4kWOG_q3vyxtx=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Children's Harbor Treasures And Thrift Store,"8842 Kowaliga Rd, Eclectic, AL 36024",Eclectic,Alabama,87,https://childrensharbor.com/thrift-store#.VpzpvZMrLBI,+1 334-857-2008,https://lh5.googleusercontent.com/p/AF1QipPbBKxOgZpZ6fiRB9Ep2kTF7dQbqjAZrSKsNSlb=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Eagle Corps Thrift Store,"2804 Forrest Ave, Gadsden, AL 35904",Gadsden,Alabama,60,No data available,+1 256-399-7168,https://lh5.googleusercontent.com/p/AF1QipN2oIPKx6KsdIsZd4g1kehwLgFtL6ncW2-IAmTl=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Area 59 Used Furniture,"8340 AL-59, Foley, AL 36535",Foley,Alabama,65,No data available,+1 251-943-1004,https://lh5.googleusercontent.com/p/AF1QipPI4FmHGUbRuSkCHFk4plx8fGm9ahZpOI9NrBgY=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Southeastern Salvage Home Emporium,"1100 West Interstate 65 Service Rd S, Mobile, AL 36609",Mobile,Alabama,843,https://southeasternsalvage.com/,+1 251-316-3553,https://lh5.googleusercontent.com/p/AF1QipO2UPLhXS4nWLyo4rB_O-hWRgG_f5JbAD0I8MV2=w800-h500-k-no,Mid-Range,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Red Beard's Treasure Chest,"105 AL-59, Summerdale, AL 36580",Summerdale,Alabama,257,https://redbeards.net/,+1 251-989-0555,https://lh5.googleusercontent.com/p/AF1QipPLBW7vxTw9g1UYitMsCJnpw3rANyQEPpRsK1f2=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Plato's Closet - Huntsville,"4851 Whitesburg Dr, Huntsville, AL 35802",Huntsville,Alabama,271,https://platoscloset.com/locations/huntsville-al/,+1 256-213-9777,https://lh5.googleusercontent.com/p/AF1QipOuTYSFYQjgY5_2VTwz9YSvCJ-vNlRgKe-yssJd=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Pay It Forward - Thrift With A Purpose,"1306 Ross Clark Cir #2, Dothan, AL 36301",Dothan,Alabama,48,http://www.sabachurches.com/,+1 334-699-1596,https://lh5.googleusercontent.com/p/AF1QipMa8VNkoZjDdZEVxKb9f-Cl8X9O9Kp5N55Cbe8t=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Firehouse Antiques And Collectibles Station #2,"1520 6th Ave SE, Decatur, AL 35601",Decatur,Alabama,69,https://firehouseantiques2.com/,+1 256-686-1392,https://lh5.googleusercontent.com/p/AF1QipNL4nuGw8XwNVsIhOLDmIAsow_WconxBrcHOURp=w800-h500-k-no,Mid-Range,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
Alaska Geographic Park Store,"Denali National Park and Preserve, Mile 1.5 Denali Park Rd, Denali National Park and Preserve, AK 99755",Denali National Park and Preserve,Alaska,31,http://www.nps.gov/dena/learn/bookstore.htm,+1 907-683-1272,https://lh5.googleusercontent.com/p/AF1QipNXdDksQeh5DRMA41aV9r0o1yblM_M2bt9OG_EW=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Talkeetna Gear Shop,"14008 E Second St, Talkeetna, AK 99676",Talkeetna,Alaska,41,http://www.talkeetnagearshop.com/,+1 907-707-3618,https://lh5.googleusercontent.com/p/AF1QipMUYPc-TJUx-RneirxSsQhdACN3UdZlY9ZAb0U=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Penny Royalty,"1241 W 27th Ave, Anchorage, AK 99503",Anchorage,Alaska,30,No data available,+1 907-891-0058,https://lh5.googleusercontent.com/p/AF1QipMAnVkGdj9RfH_wGQl8WyO-XhVpF25bKBpEe81w=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
The Salvation Army Family Store & Donation Center,"500 W Willoughby Ave, Juneau, AK 99801",Juneau,Alaska,65,https://satruck.org/,+1 907-586-3046,https://lh5.googleusercontent.com/p/AF1QipONXrNidNcZD6tWhuvOML6dVfU4aXazPtIepf6r=w800-h500-k-no,Mid-Range,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes
The Nordic Home,"2217 E Tudor Rd #21, Anchorage, AK 99507",Anchorage,Alaska,26,http://www.thenordichome.com/,+1 907-865-8871,https://lh5.googleusercontent.com/p/AF1QipPj3R1YTe3Aj8MkiwvrVqpd4J7DLyhurjxo6-QK=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Whatnot Consignments,"17050 N Eagle River Loop Rd # 1, Eagle River, AK 99577",Eagle River,Alaska,29,http://whatnot-consignments.keeq.io/,+1 907-694-0722,https://lh5.googleusercontent.com/p/AF1QipO8aNPqe4FQVCr_5GRgG1x8KXrRGLXqrs30RP4g=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
The Salvation Army Family Store & Donation Center,"35125 Kenai Spur Hwy, Soldotna, AK 99669",Soldotna,Alaska,57,https://satruck.org/,+1 907-260-5926,https://lh5.googleusercontent.com/p/AF1QipOv3dncK9y6TGtzobUjROVvqzY_ArRfDFzLdFbW=w800-h500-k-no,Mid-Range,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes
The Salvation Army Family Store & Donation Center,"500 W Willoughby Ave, Juneau, AK 99801",Juneau,Alaska,65,https://satruck.org/,+1 907-586-3046,https://lh5.googleusercontent.com/p/AF1QipONXrNidNcZD6tWhuvOML6dVfU4aXazPtIepf6r=w800-h500-k-no,Mid-Range,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes
The Clothesline Consignment,"1441 W Northern Lights Blvd a, Anchorage, AK 99503",Anchorage,Alaska,49,https://theclotheslineconsignment.com/,+1 907-677-2773,https://lh5.googleusercontent.com/p/AF1QipMRNDrf8zgQ1McUnBusDYx1zV7KE6JMuz81Wusy=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
The Salvation Army Family Store & Donation Center,"268 E Pioneer Ave, Homer, AK 99603",Homer,Alaska,27,https://satruck.org/,+1 907-235-8923,https://lh5.googleusercontent.com/p/AF1QipP3B27hq4X3YjxS_BPCSQ4P1zaI8PFxXVgxgJBS=w800-h500-k-no,Mid-Range,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Pack Rat Antiques,"1068 W Fireweed Ln, Anchorage, AK 99503",Anchorage,Alaska,56,https://www.facebook.com/packratantiques/,+1 907-522-5272,https://lh5.googleusercontent.com/p/AF1QipPqBi91PdjlV-psyJ_5-9jeTPu2PdsT4Mec0xGa=w800-h500-k-no,Mid-Range,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
Second Time Around,"113 Fairbanks Dr, Valdez, AK 99686",Valdez,Alaska,45,No data available,+1 907-835-2174,https://lh5.googleusercontent.com/p/AF1QipPytpg77Qj_zJbvuWokqUrOi23zEUkSp8Ekjn2D=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Ak Thrift Store,"341 Boniface Pkwy, Anchorage, AK 99504",Anchorage,Alaska,60,No data available,0,https://lh5.googleusercontent.com/p/AF1QipMSPEy3csgt8t3O6VY4TzNXxb8-625fkQoKPA1b=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
The Hoarding Marmot,"1231 W Northern Lights Blvd, Anchorage, AK 99503",Anchorage,Alaska,367,http://hoardingmarmot.com/,+1 907-334-3333,https://lh5.googleusercontent.com/p/AF1QipOdhxe6ROlGwS_iWjAoOETCU6V9gOBfTASg3zNu=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Fashionpact,"221 E Dimond Blvd, Anchorage, AK 99515",Anchorage,Alaska,48,https://www.fashionpact.com/,+1 907-917-5100,https://lh5.googleusercontent.com/p/AF1QipPzv0HSy2WxzI7o4qOVsyej9ptNRNsjaI2k9TUH=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Asymca Bargain Shop Fort Wainwright,"1031 102nd St, Fort Wainwright, AK 99703",Fort Wainwright,Alaska,41,https://alaska.asymca.org/bargain-shops/,+1 907-356-1211,https://lh5.googleusercontent.com/p/AF1QipP_3dYx_pJedjue9S5cdgkWAAPDBb6wlERpvhzc=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Stars Of Alaska,"2217 E Tudor Rd #1, Anchorage, AK 99507",Anchorage,Alaska,244,http://www.facebook.com/starsofalaska,+1 907-929-5118,https://lh5.googleusercontent.com/p/AF1QipNpNtoOFgP9O56bSND-DbouMKye0Kf1sKrR3oL3=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Colette's Cupboard,"360 Garteeni Hwy, Hoonah, AK 99829",Hoonah,Alaska,49,No data available,+1 907-945-3155,https://lh5.googleusercontent.com/p/AF1QipPe_0Ljx4pxOfBoHGFsK8O9OTiKfYC4iveblO_y=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
The Salvation Army Family Store & Donation Center,"35125 Kenai Spur Hwy, Soldotna, AK 99669",Soldotna,Alaska,57,https://satruck.org/,+1 907-260-5926,https://lh5.googleusercontent.com/p/AF1QipOv3dncK9y6TGtzobUjROVvqzY_ArRfDFzLdFbW=w800-h500-k-no,Mid-Range,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Second Time Around,"113 Fairbanks Dr, Valdez, AK 99686",Valdez,Alaska,45,No data available,+1 907-835-2174,https://lh5.googleusercontent.com/p/AF1QipPytpg77Qj_zJbvuWokqUrOi23zEUkSp8Ekjn2D=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
In My Element,"1755 Westwood Way #3, Fairbanks, AK 99709",Fairbanks,Alaska,30,No data available,+1 907-451-4777,https://lh5.googleusercontent.com/p/AF1QipNhQZhTNrb3sjiyAnu7UipGaqVwT98fLsUbuyhK=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Plato's Closet,"1201 W Northern Lights Blvd, Anchorage, AK 99503",Anchorage,Alaska,327,http://www.platosclosetanchorage.com/,+1 907-770-7288,https://lh5.googleusercontent.com/p/AF1QipOKudKoZ7-r_AYmOOJZo_LR8IjugU2Ps5UpmEXB=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Talkeetna Gifts And Collectables,"22253 Talkeetna Spur Rd, Talkeetna, AK 99676",Talkeetna,Alaska,89,http://www.onceinabluemoose.com/,+1 907-733-2710,https://lh5.googleusercontent.com/p/AF1QipM4cu2yt8YlJOP4hVjGlwvQn7KemxydSPxQOP2s=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes
Ak Thrift Store,"341 Boniface Pkwy, Anchorage, AK 99504",Anchorage,Alaska,60,No data available,0,https://lh5.googleusercontent.com/p/AF1QipMSPEy3csgt8t3O6VY4TzNXxb8-625fkQoKPA1b=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Alaskan Dames Consignment Shop,"9105 Mendenhall Mall Rd Suite 170, Juneau, AK 99801",Juneau,Alaska,171,http://www.alaskandames.com/,+1 907-790-3263,https://lh5.googleusercontent.com/p/AF1QipM7EHkCNeLfvMscLFn5mv8IObXWAaB1Z6Tn4shW=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Goodwill Retail Store And Donation Center,"1660 E Financial Dr, Wasilla, AK 99654",Wasilla,Alaska,55,http://www.goodwill-alaska.org/,+1 907-531-6044,https://lh5.googleusercontent.com/p/AF1QipPUID1UON5yHRa11kbRAqI9g9viQzoQpLSJ8cwF=w800-h500-k-no,Mid-Range,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes
The Salvation Army Family Store & Donation Center,"2222 S Cushman St, Fairbanks, AK 99701",Fairbanks,Alaska,35,https://satruck.org/,+1 907-456-2085,https://lh5.googleusercontent.com/p/AF1QipO-CuLusjiZtwlStR3zRmlyqXyRu1-PzvAkkjwE=w800-h500-k-no,Mid-Range,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes
The Salvation Army Family Store & Donation Center,"300 W Northern Lights Blvd, Anchorage, AK 99503",Anchorage,Alaska,135,https://satruck.org/,+1 907-561-5514,https://lh5.googleusercontent.com/p/AF1QipPfHAKV1-ok-3sul63NWXz28GGtI9aK_NljmAH4=w800-h500-k-no,Mid-Range,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes
